row_id,orders,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,prodcut_name,sales,quantity,discount,profit,manufacturer,order_year,order_day,order_month,state_code
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,"C, Gute",Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,Bush,2016,Tuesday,November,KY
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,"C, Gute",Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,Hon,2016,Tuesday,November,KY
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,"D, Huff",Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,Self-Adhesive,2016,Sunday,June,CA
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,"A, Allen",Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,Xerox,2017,Saturday,April,NC
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,"I, Maddox",Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,Fellowes,2016,Monday,December,WA
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,"K, Black",Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,Newell,2016,Friday,December,NE
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,"K, Black",Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,Acco,2016,Friday,December,NE
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,"S, Flanagan",Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,Global,2017,Sunday,July,PA
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,"E, Hoffmann",Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,Wilson,2016,Saturday,January,CA
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,"E, Hoffmann",Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,Imation 8GB,2016,Saturday,January,CA
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,"M, Abelman",Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,Easy-staple,2017,Thursday,October,TX
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,"G, Hale",Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,GE,2016,Thursday,December,TX
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,"G, Hale",Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,Electrix,2016,Thursday,December,TX
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,"L, Cazamias",Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,Panasonic,2017,Sunday,September,IL
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,"R, Ausman",Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.89399999999999,Eldon,2016,Sunday,July,CA
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,"E, Smith",Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.56160000000001,Advantus,2017,Tuesday,September,FL
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,"O, Nelson",Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,Verbatim,2016,Friday,March,MN
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,"O, Nelson",Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,Wilson,2016,Friday,March,MN
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,"L, Hernandez",Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,Imation 8gb,2016,Monday,June,DE
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,"L, Hernandez",Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,LF,2016,Monday,June,DE
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,"J, Molinari",Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,Advantus,2016,Sunday,December,NY
55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,"J, Molinari",Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,AT&T,2016,Sunday,December,NY
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,"T, Butterfield",Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,Home/Office,2016,Friday,June,NY
